A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1,-0.8249580068042324,1.49315887557099,2,4,4,-0.11170004199268914,0,0,-0.6638211189161308,1,2,-0.5406735638346686,1.97083489515075,0
0,-0.7725718159444286,0.5177682128121084,2,8,4,-0.8025016650718839,0,0,-0.6638211189161308,0,2,-0.1256037384609243,-0.6542432045357714,0
0,-0.15903185180672977,-0.6303934417807454,1,4,4,-0.27467084743742876,0,0,-0.6638211189161308,1,2,0.7045359122865643,-0.6542432045357714,0
0,-0.8613619699440955,1.5019067738916974,1,5,3,-0.8827708677536213,1,1,2.1121581056422345,1,2,-1.2324566061242423,-0.6542432045357714,1
1,-0.994547200943596,0.7736442386928014,2,6,4,0.07072996410216863,1,1,2.1121581056422345,0,2,-0.8173867807504981,-0.23476169783491646,1
0,-1.3798964693021512,-0.8851759803713501,2,8,8,-0.15305084337419023,1,1,0.0764400076327666,0,2,-0.5406735638346686,-0.6542432045357714,1
1,-1.2387201244426804,0.40841948380326515,2,3,4,-0.8219608657220021,0,0,-0.6638211189161308,0,2,-0.8173867807504981,-0.38874858004155943,0
0,2.423873728043584,-0.037723330552815196,2,11,8,0.5961283816553591,1,1,1.5569622607305613,0,2,-0.9349898979397256,0.832526692631816,1
1,-0.31441462130614706,-0.7944165352940102,1,2,8,0.5766691810052409,0,0,-0.6638211189161308,0,2,-0.014918451694592487,0.7714629289981472,0
0,2.164606478364556,0.5352640094535233,2,4,8,2.1893504348837833,1,1,0.4465705709072153,1,2,-0.5406735638346686,-0.5214958922886654,0
1,0.18902555187196507,-0.6303934417807454,2,14,8,1.306389205384672,1,1,0.8167011341816639,1,2,0.5177544908683793,1.6210457273796255,1
1,0.892243571549328,0.08037329677673548,2,11,8,1.549629213511149,1,1,1.5569622607305613,1,2,2.0189236926367546,-0.6542432045357714,1
1,-0.9501521239437626,-0.7397421707895886,1,8,8,-0.2138608454058095,1,1,0.4465705709072153,1,2,-0.2639603469188391,-0.0967044930979262,0
1,0.31510757055149236,0.08037329677673548,2,14,8,2.1893504348837833,1,1,1.5569622607305613,1,2,-1.2324566061242423,1.97083489515075,1
1,2.4158826141836136,-0.42044388208376643,2,8,4,0.2920783714972628,0,0,-0.6638211189161308,1,2,0.9812491292023938,-0.6542432045357714,0
1,1.48358599718711,0.30781865311512935,2,4,4,-0.8633116671035032,0,0,-0.6638211189161308,0,2,-1.2324566061242423,1.97083489515075,1
1,-0.15903185180672977,-0.02897543223210773,2,9,4,2.1893504348837833,1,1,0.0764400076327666,1,2,1.0504274334313513,-0.6542432045357714,1
0,-1.10553489344318,0.9551631288474812,2,6,4,-0.5179108555639058,1,1,0.0764400076327666,0,2,-0.6236875289094175,0.9148300262250217,1
1,-1.0096415271235397,-0.7397421707895886,1,4,4,-0.8219608657220021,0,0,-0.6638211189161308,0,2,-0.2639603469188391,-0.643623419556003,0
0,-0.7947693544443453,0.22580710635849696,2,11,4,0.37477997426026494,1,1,1.92709282400501,0,2,-0.3400564815706922,1.97083489515075,1
0,-0.28422596894625995,-0.8851759803713501,2,6,4,-0.8633116671035032,0,0,-0.6638211189161308,0,2,0.5661793038286496,1.97083489515075,0
0,-1.083337354943263,-0.8851759803713501,1,6,4,-0.5981800582456432,1,0,-0.6638211189161308,1,2,-0.1256037384609243,-0.6542432045357714,0
1,0.8700460330494112,-0.7211528868580853,2,2,4,-0.8025016650718839,0,0,-0.6638211189161308,0,2,-0.07026109507775839,-0.6542432045357714,0
1,0.9064499961892744,-0.6303934417807454,2,4,4,-0.780610064340501,1,0,-0.6638211189161308,0,2,-0.1256037384609243,-0.6542432045357714,0
1,-1.054036604123373,1.083101141787828,2,6,4,-0.49845165491378757,0,0,-0.6638211189161308,0,2,-0.6790301722925833,0.27498798119397067,0
1,0.1224329363722148,-0.6850678062851671,2,13,8,1.792869221637626,1,1,0.4465705709072153,1,2,-1.2324566061242423,-0.6542432045357714,1
1,-0.7876661421243721,-0.9857768110594859,1,4,4,-0.8219608657220021,0,0,-0.6638211189161308,0,2,0.15110947845490524,-0.46839696738982306,0
1,0.1597248010520751,-0.3482737209379299,1,8,8,0.109648365402405,1,1,-0.2936905556416821,1,2,0.012752869996990466,1.97083489515075,1
0,-0.06225058394709243,1.6112555029005404,2,8,4,0.09018916475228682,1,1,-0.2936905556416821,0,2,0.28946608691282,-0.6037992258818712,1
1,-0.7361678528045654,-0.4663703482674806,2,8,4,-0.3549400501191662,1,1,2.1121581056422345,1,2,-0.8173867807504981,1.97083489515075,1
1,-0.3881104491258705,-0.8490908997984319,2,8,8,1.1847692013214335,1,1,0.4465705709072153,1,2,0.925906485819228,-0.2560012677944534,1
0,-0.9723496624436794,1.2832093158740108,1,14,8,-0.8827708677536213,0,0,-0.6638211189161308,1,2,-0.16711072099829874,-0.5692849246976236,0
1,1.8609441516856948,-0.7124049885373778,1,8,8,2.1893504348837833,1,0,-0.6638211189161308,1,2,0.15110947845490524,-0.38874858004155943,0
1,-0.7361678528045654,1.5019067738916974,2,9,8,0.15099916678390607,1,1,2.1121581056422345,1,2,0.7737142165155216,0.09976152902779072,1
1,1.017437688688858,-0.7397421707895886,2,7,4,2.1893504348837833,0,1,-0.2936905556416821,1,2,1.2026197027350574,-0.356889225102254,0
1,2.565383035980552,2.5994946413179605,1,1,1,-0.8633116671035032,0,1,0.0764400076327666,0,2,-1.2324566061242423,0.2776429274389128,0
1,-0.5656907571252046,1.7206042319093837,2,6,4,0.5766691810052409,1,0,-0.6638211189161308,1,1,-1.0940999976663277,-0.6542432045357714,1
1,0.7288696881899404,2.0300611350044098,2,9,4,2.1893504348837833,1,1,1.5569622607305613,1,2,-0.7482084765215408,-0.6542432045357714,1
0,1.45428524636722,0.7364656708297947,2,8,4,2.1893504348837833,1,1,1.5569622607305613,1,2,-1.2324566061242423,1.97083489515075,1
0,1.42498449554733,-0.35702161925863735,2,14,4,2.1893504348837833,1,1,0.0764400076327666,1,2,2.3578973833586456,1.97083489515075,1
1,-0.728176738944595,-1.0131139933116966,2,13,4,-0.8414200663721202,1,0,-0.6638211189161308,0,2,-1.2324566061242423,-0.6542432045357714,1
1,-0.7805629298043989,-0.6850678062851671,1,6,4,-0.6200716589770261,0,0,-0.6638211189161308,1,2,-0.4023169553767538,-0.4763618061246494,0
1,-0.4103079876257873,-0.7670793530417994,2,14,8,-0.27467084743742876,1,0,-0.6638211189161308,0,2,-1.2324566061242423,1.97083489515075,1
1,2.565383035980552,-0.895017365982146,2,8,4,-0.5981800582456432,1,1,0.4465705709072153,1,2,0.012752869996990466,-0.6542432045357714,0
1,-0.6766784496247883,-0.9223545482343568,1,8,4,-0.8633116671035032,0,1,0.0764400076327666,0,2,-0.3469743119935879,-0.6383135270661188,0
0,-0.9430489116237893,1.2285349513695891,2,11,4,-0.5373700562140239,1,1,0.0764400076327666,1,2,-0.8934829154023513,-0.6542432045357714,1
0,-0.610085834125038,-0.6303934417807454,1,8,4,-0.8025016650718839,0,0,-0.6638211189161308,0,2,-0.319302990302005,-0.6542432045357714,0
1,-1.349707816942264,-1.0043660949909892,2,8,4,-0.8633116671035032,0,0,-0.6638211189161308,0,2,-1.2324566061242423,-0.6542432045357714,1
0,-0.16613506412670298,-0.5757190772763238,1,10,8,0.09018916475228682,0,0,-0.6638211189161308,0,2,0.5385079821370665,-0.6091091183717554,0
0,1.9053392286855284,2.2673478769536,2,8,4,1.792869221637626,1,1,2.1121581056422345,0,2,-1.2324566061242423,1.97083489515075,1
1,0.0851410716923545,-0.24767289024979416,2,4,4,-0.6395308596271443,0,0,-0.6638211189161308,1,2,0.37248005198756884,-0.6542432045357714,0
1,-0.9137481608038994,-0.11098697898874015,1,3,8,-0.8633116671035032,0,0,-0.6638211189161308,0,2,-0.2639603469188391,-0.38874858004155943,0
1,-0.28422596894625995,-0.9857768110594859,1,4,4,-0.8414200663721202,0,0,-0.6638211189161308,0,2,0.26179476522123707,1.97083489515075,0
1,-1.0984316811232067,-0.6303934417807454,1,8,4,0.2531599701970264,0,0,-0.6638211189161308,1,2,-0.45765959875991974,-0.6383135270661188,0
1,-0.3366121598060638,-0.30234725475421576,1,11,8,1.59098001489265,0,1,0.0764400076327666,1,2,1.320222819924285,-0.6515882582908293,0
1,-0.31441462130614706,-0.6850678062851671,2,9,4,0.09018916475228682,1,1,2.1121581056422345,1,2,1.769881797412508,-0.5613200859627973,1
1,0.7661615528698007,0.40841948380326515,2,6,5,0.819909189131718,1,1,-0.2936905556416821,0,2,-1.2324566061242423,0.6732299179352887,1
0,0.5290918416906896,-0.4663703482674806,2,3,8,-0.780610064340501,0,0,-0.6638211189161308,0,2,0.5661793038286496,-0.001126428280009856,0
1,0.9881369378689682,0.06178401284523215,1,9,4,0.6569383836869783,1,0,-0.6638211189161308,1,2,-0.8727294241336641,1.97083489515075,1
1,2.253396632364223,1.665929867404962,2,7,4,-0.27467084743742876,1,1,0.8167011341816639,1,2,0.15110947845490524,-0.6542432045357714,1
1,1.0476263410487452,0.08037329677673548,2,3,5,0.21180916881552533,0,0,-0.6638211189161308,1,2,-0.25704251649594334,-0.6542432045357714,0
0,-0.6766784496247883,-0.8578387981191393,2,9,4,-0.7611508636903828,0,1,-0.2936905556416821,1,2,0.42782269537073475,-0.643623419556003,0
1,-1.1428267581230402,-0.5757190772763238,2,3,4,-0.15305084337419023,1,1,0.0764400076327666,0,2,-0.4023169553767538,0.14224066894686466,1
0,0.8398573806895241,-0.24767289024979416,2,3,5,-0.6395308596271443,0,0,-0.6638211189161308,0,1,2.641528430697371,-0.6542432045357714,0
0,-0.610085834125038,-0.9037652643028534,2,11,8,-0.15305084337419023,1,0,-0.6638211189161308,0,2,0.7045359122865643,1.5334325012965355,1
